#Symbol	ID	Name	Occur	Paper	MatchStr	PMID
SOD1	11179	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	1982	91	SOD1-infected | SOD1-dependent | SOD1s | mSOD | SOD1-generated | SOD1-induced | SOD1-mutated | SOD-generated | SOD1-associated | SOD-like | hSOD | SOD-transgenic | SOD-mediated | SOD1-interacting | SOD1-overexpressing | SOD-catalase | ALS | SOD1-positive | mSOD1 | Sod1 | SOD-1 | SOD1-linked | SOD-catalase-mimetic | SOD-induced | hSOD1 | SOD1-related | SOD1-mediated | SODs | SOD-1-positive | SOD-defective | SOD-expression | SOD-1-related | sod1 | superoxide dismutase | superoxide dismutase 1 | superoxide dismutase1 | 	8841988,8899665,9044305,9092140,9172131,9462746,9620775,9633809,9745361,9856861,10077670,10385054,10593879,10671549,10742195,10795881,10826922,10899935,10930589,11396274,11513882,11679167,11701756,11796206,11905995,12218958,12368231,12392777,12437573,12654515,12663085,12684448,12718737,12753090,12893007,12901835,12909279,14572730,14625013,14648077,14660707,14690536,14698606,14739060,15031734,15208263,15289674,15333927,15812313,15850589,15863242,15896810,15964487,16026864,16043017,16046141,16050975,16188953,16227974,16624679,16681429,16877542,16895581,17014688,17099894,17105868,17150307,17174478,17191135,17368952,17496232,17584954,17634371,17719032,17956327,17987632,18219386,18308427,8588576,9007410,10544701,10643818,11050436,11223912,12614931,12618129,13678536,15266948,16194581,17192933,18270519,
CAT	1516	catalase	82	30	CAT | catalase | 	16681429,17191135,18308427,9856861,10593879,10643818,10930589,11050436,11679167,12392777,12614931,12654515,12663085,12684448,12718737,12893007,12909279,14648077,14690536,15031734,15266948,15896810,16188953,16194581,16877542,17150307,17174478,17368952,17496232,18210200,
APP	620	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	99	22	APP | amyloid | amyloid-like | amyloid-dependent | amyloid beta protein | 	8910880,9337068,9675268,9745361,10643818,10742195,11978481,12663085,12893007,14739060,15031734,15105254,15896810,16194581,16227974,16406002,17174478,17191135,17937892,18219386,8858182,9311102,
CYCS	19986	cytochrome c, somatic	131	20	cytochrome c | 	8899665,10593879,10671549,11050436,11679167,11905995,12368231,14698606,14739060,15896810,15964487,16026864,16046141,16050975,16242643,17105868,17150307,17496232,17634371,18210200,
NOS2A	7873	nitric oxide synthase 2A (inducible, hepatocytes)	68	20	NOS | NOSs | iNOS | iNOS-derived | nitric oxide synthase | 	11978481,12663085,14739060,15896810,15964487,16194581,16242643,17099894,17174478,17191135,9675268,10930589,11223912,12909279,15031734,15208263,16043017,17368952,17496232,17634371,
SOD2	11180	superoxide dismutase 2, mitochondrial	100	19	Mn-SOD | MnSOD-depleted | SOD-2 | Sod2 | SOD2 | manganese superoxide dismutase | mn sod | mn superoxide dismutase | superoxide dismutase 2 | 	10671549,10742195,10930589,11050436,11328670,11679167,11905995,12392777,14648077,14739060,15850589,15896810,16227974,17099894,17174478,17191135,17496232,9462746,11978481,
BCL2	990	B-cell CLL/lymphoma 2	139	16	Bcl-2 | Bcl-2-like | bcl2 | Bcl2 | bcl 2 | 	10671549,11679167,12392777,14739060,15850589,15896810,16046141,16050975,16242643,16624679,17105868,17496232,7764323,7841373,8922414,11050436,
COX8B	31395	cytochrome c oxidase, subunit 8B pseudogene	22	13	cytochrome c oxidase | 	8841988,10671549,10742195,11050436,12618129,12901835,12909279,14660707,15038597,15812313,15896810,15964487,17584954,
NOS1	7872	nitric oxide synthase 1 (neuronal)	130	12	NOS | nNOS | NOS-peptide | neuronal nitric oxide synthase | 	10643818,10930589,11223912,11978481,12753090,12909279,14739060,15896810,17174478,17368952,17496232,17634371,
CASP3	1504	caspase 3, apoptosis-related cysteine peptidase	72	11	caspase 3 | 	10671549,10742195,12901835,15208263,15896810,16046141,16242643,16406002,17105868,17150307,17496232,
NFKB1	7794	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	42	10	NF-kB | NFKB | NFkB-independent | NF-kappaB | nf kappa b | nuclear factor kappa b | 	10643818,12437573,12769802,15896810,17191135,17496232,17584954,11228742,12392777,16194581,
TNF	11892	tumor necrosis factor (TNF superfamily, member 2)	33	10	TNF--modulating | TNF-alpha-dependent | TNF-_amp_#945 | TNF-A | tumor necrosis factor | tnf alpha | 	12654515,14739060,15896810,16043017,16194581,17496232,18414597,18422522,18751914,12663085,
