#Symbol	HUGOID	Name	#Occur	#Paper	MatchString	PMIDs
ABP1	80	amiloride binding protein 1 (amine oxidase (copper-containing))	1	1	ABP | 	17191135,
ACADM	89	acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	1	1	ACADM | 	18464922,
ACE	2707	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	1	1	DCP1 | 	18513389,
ACO2	118	aconitase 2, mitochondrial	1	1	aconitase | 	14739060,
ACTB	132	actin, beta	10	3	beta-actin | 	16014720,16120782,18436268,
ADCYAP1	241	adenylate cyclase activating polypeptide 1 (pituitary)	8	1	PACAP | 	17582695,
ADD1	243	adducin 1 (alpha)	1	1	ADD1 | 	18513389,
ADRB2	286	adrenergic, beta-2-, receptor, surface	2	1	ADRB2 | 	18513389,
ADRB3	288	adrenergic, beta-3-, receptor	2	1	ADRB3 | 	18513389,
AGPS	327	alkylglycerone phosphate synthase	1	1	ADAPS | 	18464925,
AGRN	329	agrin	4	1	agrin | Agrin | 	15657392,
AGT	333	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1	1	AGT | 	18513389,
AGTR1	336	angiotensin II receptor, type 1	2	1	AGTR1 | 	18513389,
AHSA1	1189	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	1	1	p38 | 	17015226,
AIF1	352	allograft inflammatory factor 1	2	2	Iba1-immunoreactive | iba1 | 	14960605,18312546,
AIFM1	8768	apoptosis-inducing factor, mitochondrion-associated, 1	2	1	AIF | 	15571972,
AKT1	391	v-akt murine thymoma viral oncogene homolog 1	30	7	Rac | Akt | AKT | 	16104843,16624536,16647138,16877542,17574754,17997855,18422522,
ALDH3A2	403	aldehyde dehydrogenase 3 family, member A2	6	1	SLS | 	16647138,
ALOX12	429	arachidonate 12-lipoxygenase	32	1	12-LOX | 	16647138,
ALOX5	435	arachidonate 5-lipoxygenase	39	2	5-LOX-mediated | 	16436205,16647138,
ALOX5AP	436	arachidonate 5-lipoxygenase-activating protein	2	1	FLAP | 	16647138,
ALS2	443	amyotrophic lateral sclerosis 2 (juvenile)	3	2	ALS2 | 	15210305,18422522,
AMT	473	aminomethyltransferase	3	1	AMT | 	17350694,
ANG	483	angiogenin, ribonuclease, RNase A family, 5	5	1	ANG | 	17015226,
APAF1	576	apoptotic peptidase activating factor 1	1	1	Apaf1 | 	14739060,
APC	583	adenomatous polyposis coli	6	1	DP2 | 	17574754,
APEX2	17889	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	1	1	APEX | 	18513389,
APOA4	602	apolipoprotein A-IV	3	1	APOA4 | 	18513389,
APOB	603	apolipoprotein B (including Ag(x) antigen)	1	1	APOB | 	18513389,
APOC3	610	apolipoprotein C-III	2	1	APOC3 | 	18513389,
APOE	613	apolipoprotein E	23	7	APOE | apoE | ApoE-containing | 	11173059,14739060,15210305,16766086,17569578,17597167,18513389,
APP	620	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	154	29	APP | amyloid | hAPP | Abeta | 	9762518,9769023,9850924,10417811,10525172,11173059,14739060,15210305,15453089,15571972,15681814,16120782,16445350,16624536,16647138,16753239,16766086,16781706,16983747,17191135,17306794,17350694,17569578,17574754,17597167,17901552,17997855,18040778,18464925,
AR	644	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	1	1	SBMA | 	15210305,
ARHGEF5	13209	Rho guanine nucleotide exchange factor (GEF) 5	1	1	TIM | 	17015226,
ATXN7	10560	ataxin 7	2	1	SCA7 | 	12417341,
BACE1	933	beta-site APP-cleaving enzyme 1	5	2	BACE1 | 	16766086,17569578,
BACH2	14078	BTB and CNC homology 1, basic leucine zipper transcription factor 2	1	1	Bach-2 | 	17191135,
BAD	936	BCL2-antagonist of cell death	3	3	BAD | 	15210305,16624536,16877542,
BCL2	990	B-cell CLL/lymphoma 2	38	11	Bcl-2 | Bcl2 | 	11173059,12843244,14739060,15210305,15571972,16624536,17008387,17015226,17569578,18436268,18464922,
BCL2A1	991	BCL2-related protein A1	1	1	Bfl-1 | 	16624536,
BDNF	1033	brain-derived neurotrophic factor	18	9	BDNF | BDNF-associated | 	9086508,10525172,11173059,15453089,15572176,16624536,17015226,17597167,17896980,
BLVRA	1062	biliverdin reductase A	8	1	BVR | 	17191135,
BPTF	3581	bromodomain PHD finger transcription factor	1	1	FAC1 | 	15210305,
BRIP1	20473	BRCA1 interacting protein C-terminal helicase 1	5	1	Bach1 | 	17191135,
C1QB	1242	complement component 1, q subcomponent, B chain	1	1	C1qB | 	15210305,
C2orf3	1317	chromosome 2 open reading frame 3	1	1	GCF | 	17191135,
C4A	1323	complement component 4A (Rodgers blood group)	5	1	C4a | C4b | 	9762518,
C4BPA	1325	complement component 4 binding protein, alpha	4	1	PrP | 	15453089,
C5AR1	1338	complement component 5a receptor 1	2	1	C5a | 	9762518,
C9orf3	1361	chromosome 9 open reading frame 3	1	1	APO | 	18513389,
