#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0006310	DNA recombination	399	11	388	0	555	555	6.315e-05	0.03	0.00	bZero
GO:0006955	immune response	399	18	381	62	493	555	2.112e-04	0.05	0.11	0.4
GO:0006281	DNA repair	399	21	378	7	548	555	3.643e-04	0.05	0.01	4.2
GO:0006629	lipid metabolic process	399	5	394	30	525	555	6.776e-04	0.01	0.05	0.2
GO:0006508	proteolysis	399	10	389	41	514	555	7.245e-04	0.03	0.07	0.3
GO:0007267	cell\-cell signaling	399	18	381	55	500	555	1.905e-03	0.05	0.10	0.5
GO:0007186	G\-protein coupled receptor protein signaling pathway	399	15	384	46	509	555	4.679e-03	0.04	0.08	0.5
GO:0007165	signal transduction	399	66	333	133	422	555	5.960e-03	0.17	0.24	0.7
GO:0007131	meiotic recombination	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0000724	double\-strand break repair via homologous recombination	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0006954	inflammatory response	399	21	378	53	502	555	1.432e-02	0.05	0.10	0.6
GO:0045087	innate immune response	399	2	397	14	541	555	1.936e-02	0.01	0.03	0.2
GO:0006979	response to oxidative stress	399	24	375	16	539	555	2.132e-02	0.06	0.03	2.1
GO:0006750	glutathione biosynthetic process	399	4	395	0	555	555	3.033e-02	0.01	0.00	bZero
GO:0007275	multicellular organismal development	399	20	379	49	506	555	3.063e-02	0.05	0.09	0.6
GO:0007155	cell adhesion	399	15	384	39	516	555	3.326e-02	0.04	0.07	0.5
GO:0007049	cell cycle	399	23	376	17	538	555	4.886e-02	0.06	0.03	1.9
GO:0007420	brain development	399	9	390	4	551	555	5.094e-02	0.02	0.01	3.1
GO:0007596	blood coagulation	399	1	398	9	546	555	5.189e-02	0.00	0.02	0.2
GO:0006302	double\-strand break repair	399	10	389	5	550	555	6.405e-02	0.03	0.01	2.8
GO:0006935	chemotaxis	399	8	391	24	531	555	6.686e-02	0.02	0.04	0.5
GO:0032981	mitochondrial respiratory chain complex I assembly	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0006303	double\-strand break repair via nonhomologous end joining	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0060048	cardiac muscle contraction	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0007126	meiosis	399	6	393	2	553	555	7.413e-02	0.02	0.00	4.2
GO:0006260	DNA replication	399	11	388	6	549	555	7.971e-02	0.03	0.01	2.6
GO:0000723	telomere maintenance	399	5	394	1	554	555	8.782e-02	0.01	0.00	7.0
GO:0008284	positive regulation of cell proliferation	399	13	386	32	523	555	8.800e-02	0.03	0.06	0.6
GO:0019221	cytokine and chemokine mediated signaling pathway	399	4	395	14	541	555	9.723e-02	0.01	0.03	0.4
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	399	2	397	9	546	555	1.331e-01	0.01	0.02	0.3
GO:0008015	blood circulation	399	2	397	9	546	555	1.331e-01	0.01	0.02	0.3
GO:0006284	base\-excision repair	399	5	394	2	553	555	1.363e-01	0.01	0.00	3.5
GO:0006471	protein amino acid ADP\-ribosylation	399	5	394	2	553	555	1.363e-01	0.01	0.00	3.5
GO:0008380	RNA splicing	399	5	394	2	553	555	1.363e-01	0.01	0.00	3.5
GO:0008285	negative regulation of cell proliferation	399	12	387	28	527	555	1.414e-01	0.03	0.05	0.6
GO:0001525	angiogenesis	399	12	387	28	527	555	1.414e-01	0.03	0.05	0.6
GO:0006457	protein folding	399	17	382	14	541	555	1.427e-01	0.04	0.03	1.7
GO:0005975	carbohydrate metabolic process	399	11	388	7	548	555	1.456e-01	0.03	0.01	2.2
GO:0006869	lipid transport	399	1	398	7	548	555	1.489e-01	0.00	0.01	0.2
GO:0016049	cell growth	399	1	398	7	548	555	1.489e-01	0.00	0.01	0.2
GO:0008203	cholesterol metabolic process	399	1	398	7	548	555	1.489e-01	0.00	0.01	0.2
GO:0007004	telomere maintenance via telomerase	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0006289	nucleotide\-excision repair	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0042136	neurotransmitter biosynthetic process	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0006470	protein amino acid dephosphorylation	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0048015	phosphoinositide\-mediated signaling	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0006259	DNA metabolic process	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0006139	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolic process	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0006397	mRNA processing	399	4	395	1	554	555	1.673e-01	0.01	0.00	5.6
GO:0001501	skeletal development	399	3	396	11	544	555	1.721e-01	0.01	0.02	0.4
GO:0040012	regulation of locomotion	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006275	regulation of DNA replication	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0008053	mitochondrial fusion	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0010248	establishment and/or maintenance of transmembrane electrochemical gradient	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0000075	cell cycle checkpoint	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006534	cysteine metabolic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006536	glutamate metabolic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0051900	regulation of mitochondrial depolarization	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0000019	regulation of mitotic recombination	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0009888	tissue development	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0048478	replication fork protection	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0009062	fatty acid catabolic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006312	mitotic recombination	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006414	translational elongation	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006783	heme biosynthetic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006829	zinc ion transport	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
