#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0004871	signal transducer activity	399	54	345	154	401	555	1.271e-07	0.14	0.28	0.5
GO:0060089	molecular transducer activity	399	54	345	154	401	555	1.271e-07	0.14	0.28	0.5
GO:0004872	receptor activity	399	36	363	111	444	555	2.919e-06	0.09	0.20	0.5
GO:0004888	transmembrane receptor activity	399	25	374	79	476	555	8.504e-05	0.06	0.14	0.4
GO:0005102	receptor binding	399	44	355	114	441	555	9.461e-05	0.11	0.21	0.5
GO:0000166	nucleotide binding	399	109	290	100	455	555	8.337e-04	0.27	0.18	1.5
GO:0008026	ATP\-dependent helicase activity	399	10	389	1	554	555	1.054e-03	0.03	0.00	13.9
GO:0019955	cytokine binding	399	2	397	18	537	555	2.570e-03	0.01	0.03	0.2
GO:0043566	structure\-specific DNA binding	399	14	385	4	551	555	2.709e-03	0.04	0.01	4.9
GO:0003824	catalytic activity	399	228	171	264	291	555	3.856e-03	0.57	0.48	1.2
GO:0017076	purine nucleotide binding	399	102	297	99	456	555	4.782e-03	0.26	0.18	1.4
GO:0003684	damaged DNA binding	399	8	391	1	554	555	5.115e-03	0.02	0.00	11.1
GO:0030554	adenyl nucleotide binding	399	94	305	90	465	555	5.949e-03	0.24	0.16	1.5
GO:0004386	helicase activity	399	11	388	3	552	555	6.063e-03	0.03	0.01	5.1
GO:0008233	peptidase activity	399	15	384	45	510	555	6.587e-03	0.04	0.08	0.5
GO:0016817	hydrolase activity\, acting on acid anhydrides	399	34	365	24	531	555	8.853e-03	0.09	0.04	2.0
GO:0016462	pyrophosphatase activity	399	34	365	24	531	555	8.853e-03	0.09	0.04	2.0
GO:0016818	hydrolase activity\, acting on acid anhydrides\, in phosphorus\-containing anhydrides	399	34	365	24	531	555	8.853e-03	0.09	0.04	2.0
GO:0016887	ATPase activity	399	24	375	14	541	555	1.086e-02	0.06	0.03	2.4
GO:0017111	nucleoside\-triphosphatase activity	399	33	366	23	532	555	1.133e-02	0.08	0.04	2.0
GO:0004520	endodeoxyribonuclease activity	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0032555	purine ribonucleotide binding	399	86	313	84	471	555	1.275e-02	0.22	0.15	1.4
GO:0032553	ribonucleotide binding	399	86	313	84	471	555	1.275e-02	0.22	0.15	1.4
GO:0004930	G\-protein coupled receptor activity	399	9	390	31	524	555	1.325e-02	0.02	0.06	0.4
GO:0042623	ATPase activity\, coupled	399	22	377	13	542	555	1.365e-02	0.06	0.02	2.4
GO:0032559	adenyl ribonucleotide binding	399	78	321	75	480	555	1.554e-02	0.20	0.14	1.4
GO:0001584	rhodopsin\-like receptor activity	399	8	391	28	527	555	1.561e-02	0.02	0.05	0.4
GO:0008009	chemokine activity	399	1	398	11	544	555	1.797e-02	0.00	0.02	0.1
GO:0042379	chemokine receptor binding	399	1	398	11	544	555	1.797e-02	0.00	0.02	0.1
GO:0003690	double\-stranded DNA binding	399	10	389	3	552	555	1.950e-02	0.03	0.01	4.6
GO:0008094	DNA\-dependent ATPase activity	399	8	391	2	553	555	2.053e-02	0.02	0.00	5.6
GO:0004175	endopeptidase activity	399	14	385	39	516	555	2.146e-02	0.04	0.07	0.5
GO:0004003	ATP\-dependent DNA helicase activity	399	6	393	1	554	555	2.363e-02	0.02	0.00	8.3
GO:0005524	ATP binding	399	74	325	73	482	555	2.888e-02	0.19	0.13	1.4
GO:0005319	lipid transporter activity	399	3	396	15	540	555	3.055e-02	0.01	0.03	0.3
GO:0001664	G\-protein\-coupled receptor binding	399	2	397	13	542	555	3.196e-02	0.01	0.02	0.2
GO:0003678	DNA helicase activity	399	9	390	3	552	555	3.449e-02	0.02	0.01	4.2
GO:0003697	single\-stranded DNA binding	399	7	392	2	553	555	3.936e-02	0.02	0.00	4.9
GO:0004527	exonuclease activity	399	7	392	2	553	555	3.936e-02	0.02	0.00	4.9
GO:0005125	cytokine activity	399	20	379	48	507	555	4.054e-02	0.05	0.09	0.6
GO:0016491	oxidoreductase activity	399	81	318	84	471	555	4.572e-02	0.20	0.15	1.3
GO:0003676	nucleic acid binding	399	91	308	98	457	555	5.806e-02	0.23	0.18	1.3
GO:0004536	deoxyribonuclease activity	399	8	391	3	552	555	6.039e-02	0.02	0.01	3.7
GO:0016788	hydrolase activity\, acting on ester bonds	399	33	366	29	526	555	6.335e-02	0.08	0.05	1.6
GO:0008022	protein C\-terminus binding	399	10	389	5	550	555	6.405e-02	0.03	0.01	2.8
GO:0042578	phosphoric ester hydrolase activity	399	15	384	10	545	555	6.723e-02	0.04	0.02	2.1
GO:0019104	DNA N\-glycosylase activity	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0016799	hydrolase activity\, hydrolyzing N\-glycosyl compounds	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0005509	calcium ion binding	399	25	374	53	502	555	7.292e-02	0.06	0.10	0.7
GO:0016651	oxidoreductase activity\, acting on NADH or NADPH	399	13	386	8	547	555	7.335e-02	0.03	0.01	2.3
GO:0009055	electron carrier activity	399	41	358	39	516	555	7.689e-02	0.10	0.07	1.5
GO:0008237	metallopeptidase activity	399	2	397	10	545	555	8.501e-02	0.01	0.02	0.3
GO:0030528	transcription regulator activity	399	40	359	76	479	555	8.896e-02	0.10	0.14	0.7
GO:0004674	protein serine/threonine kinase activity	399	29	370	26	529	555	9.344e-02	0.07	0.05	1.6
GO:0001871	pattern binding	399	8	391	22	533	555	9.370e-02	0.02	0.04	0.5
GO:0003677	DNA binding	399	79	320	87	468	555	1.007e-01	0.20	0.16	1.3
GO:0019899	enzyme binding	399	27	372	24	531	555	1.092e-01	0.07	0.04	1.6
GO:0008528	peptide receptor activity\, G\-protein coupled	399	3	396	12	543	555	1.133e-01	0.01	0.02	0.3
GO:0001653	peptide receptor activity	399	3	396	12	543	555	1.133e-01	0.01	0.02	0.3
GO:0004518	nuclease activity	399	13	386	9	546	555	1.251e-01	0.03	0.02	2.0
GO:0050662	coenzyme binding	399	25	374	22	533	555	1.289e-01	0.06	0.04	1.6
GO:0030246	carbohydrate binding	399	11	388	27	528	555	1.302e-01	0.03	0.05	0.6
GO:0015276	ligand\-gated ion channel activity	399	2	397	9	546	555	1.331e-01	0.01	0.02	0.3
