#DescID	MeSH	CompStatus	TGSize	TG+	TG-	T+uniq	Common	B+uniq	BG+	BG-	BGSize	TG-Ratio	BG-Ratio	TG-R/BG-R	P-value
9541	Reactive Oxygen Species	1	172	104	68	103	1	0	1	167	168	0.60	0.01	101.6	1.630e-39
1249	Mitochondria	1	172	33	139	33	0	3	3	165	168	0.19	0.02	10.7	5.803e-08
21748	Oxidation-Reduction	1	172	27	145	26	1	2	3	165	168	0.16	0.02	8.8	3.597e-06
21769	Oxidative Stress	1	172	59	113	56	3	19	22	146	168	0.34	0.13	2.6	3.990e-06
14064	Superoxide Dismutase	1	172	69	103	69	0	35	35	133	168	0.40	0.21	1.9	1.525e-04
753	Microglia	1	172	4	168	3	1	21	22	146	168	0.02	0.13	0.2	1.592e-04
21749	Lipid Peroxidation	1	172	13	159	0	0	0	0	168	168	0.08	0.00	bZero	1.946e-04
17379	Inflammation Mediators	1	172	1	171	0	1	12	13	155	168	0.01	0.08	0.1	6.975e-04
9040	Disease Models, Animal	1	172	12	160	11	1	30	31	137	168	0.07	0.18	0.4	1.741e-03
17498	Antioxidants	1	172	24	148	23	1	6	7	161	168	0.14	0.04	3.3	2.159e-03
17736	Anti-Inflammatory Agents	1	172	1	171	0	1	10	11	157	168	0.01	0.07	0.1	2.670e-03
9539	Free Radicals	1	172	18	154	16	2	2	4	164	168	0.10	0.02	4.4	3.283e-03
17499	Free Radical Scavengers	1	172	9	163	0	0	0	0	168	168	0.05	0.00	bZero	3.523e-03
9393	Hydrogen Peroxide	1	172	9	163	0	0	0	0	168	168	0.05	0.00	bZero	3.523e-03
1096	Tumor Cells, Cultured	1	172	9	163	0	0	0	0	168	168	0.05	0.00	bZero	3.523e-03
1069	Cell Line	1	172	9	163	0	0	0	0	168	168	0.05	0.00	bZero	3.523e-03
7098	Multiple Sclerosis	1	172	1	171	1	0	10	10	158	168	0.01	0.06	0.1	5.160e-03
9480	Calcium	1	172	13	159	13	0	2	2	166	168	0.08	0.01	6.3	6.264e-03
16973	DNA, Mitochondrial	1	172	8	164	0	0	0	0	168	168	0.05	0.00	bZero	7.211e-03
21844	Aging	1	172	18	154	17	1	4	5	163	168	0.10	0.03	3.5	8.325e-03
17011	RNA, Messenger	1	172	1	171	1	0	9	9	159	168	0.01	0.05	0.1	9.879e-03
5946	Neuroblastoma	1	172	10	162	10	0	1	1	167	168	0.06	0.01	9.8	1.054e-02
22205	Mutation	1	172	22	150	22	0	8	8	160	168	0.13	0.05	2.7	1.201e-02
14054	Glutathione Peroxidase	1	172	7	165	0	0	0	0	168	168	0.04	0.00	bZero	1.472e-02
8871	DNA Damage	1	172	7	165	0	0	0	0	168	168	0.04	0.00	bZero	1.472e-02
9489	Copper	1	172	7	165	0	0	0	0	168	168	0.04	0.00	bZero	1.472e-02
796	Motor Neurons	1	172	40	132	39	1	21	22	146	168	0.23	0.13	1.8	1.704e-02
7128	Central Nervous System Diseases	1	172	1	171	1	0	8	8	160	168	0.01	0.05	0.1	1.872e-02
8844	Autoimmune Diseases	1	172	1	171	1	0	8	8	160	168	0.01	0.05	0.1	1.872e-02
760	Neurons	1	172	30	142	28	2	13	15	153	168	0.17	0.09	2.0	2.473e-02
23523	Adult	1	172	8	164	8	0	19	19	149	168	0.05	0.11	0.4	2.725e-02
751	Neuroglia	1	172	3	169	3	0	11	11	157	168	0.02	0.07	0.3	2.994e-02
13817	Prostaglandin-Endoperoxide Synthases	1	172	2	170	2	0	9	9	159	168	0.01	0.05	0.2	3.381e-02
593	Central Nervous System	1	172	2	170	2	0	9	9	159	168	0.01	0.05	0.2	3.381e-02
9125	Disease Progression	1	172	5	167	5	0	14	14	154	168	0.03	0.08	0.3	3.417e-02
1068	Cells, Cultured	1	172	18	154	18	0	7	7	161	168	0.10	0.04	2.5	3.620e-02
21374	Cell Death	1	172	19	153	17	2	6	8	160	168	0.11	0.05	2.3	4.357e-02
23527	Middle Aged	1	172	15	157	15	0	27	27	141	168	0.09	0.16	0.5	4.772e-02
21375	Apoptosis	1	172	25	147	25	0	13	13	155	168	0.15	0.08	1.9	5.790e-02
14970	Cytokines	1	172	2	170	2	0	8	8	160	168	0.01	0.05	0.2	5.905e-02
9864	Aldehydes	1	172	5	167	0	0	0	0	168	168	0.03	0.00	bZero	6.075e-02
11510	Thiazoles	1	172	5	167	0	0	0	0	168	168	0.03	0.00	bZero	6.075e-02
19678	DNA Mutational Analysis	1	172	5	167	0	0	0	0	168	168	0.03	0.00	bZero	6.075e-02
21838	Membrane Potentials	1	172	5	167	0	0	0	0	168	168	0.03	0.00	bZero	6.075e-02
15308	Glutathione	1	172	9	163	8	1	1	2	166	168	0.05	0.01	4.4	6.138e-02
23522	Adolescent	1	172	1	171	1	0	6	6	162	168	0.01	0.04	0.2	6.483e-02
1893	Rats	1	172	20	152	20	0	10	10	158	168	0.12	0.06	2.0	8.456e-02
17505	Enzyme Inhibitors	1	172	10	162	10	0	3	3	165	168	0.06	0.02	3.3	8.641e-02
13819	Cyclooxygenase 2	1	172	2	170	2	0	7	7	161	168	0.01	0.04	0.3	1.013e-01
15064	Tumor Necrosis Factor-alpha	1	172	2	170	2	0	7	7	161	168	0.01	0.04	0.3	1.013e-01
21539	Gene Expression	1	172	2	170	1	1	6	7	161	168	0.01	0.04	0.3	1.013e-01
18371	Immunohistochemistry	1	172	6	166	6	0	13	13	155	168	0.03	0.08	0.5	1.018e-01
15126	Nerve Growth Factors	1	172	1	171	1	0	5	5	163	168	0.01	0.03	0.2	1.180e-01
18429	Treatment Outcome	1	172	1	171	1	0	5	5	163	168	0.01	0.03	0.2	1.180e-01
1282	Macrophages	1	172	1	171	1	0	5	5	163	168	0.01	0.03	0.2	1.180e-01
13377	Calcineurin	1	172	6	166	6	0	1	1	167	168	0.03	0.01	5.9	1.213e-01
16830	Recombinant Proteins	1	172	6	166	6	0	1	1	167	168	0.03	0.01	5.9	1.213e-01
9670	Reactive Nitrogen Species	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
12489	Cyclic N-Oxides	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
11877	Tetrazolium Salts	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
21531	DNA Fragmentation	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
19285	Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
14050	Catalase	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
9643	Metals	1	172	4	168	0	0	0	0	168	168	0.02	0.00	bZero	1.229e-01
23524	Aged	1	172	14	158	14	0	22	22	146	168	0.08	0.13	0.6	1.599e-01
